movie_id,title,budget,revenue,release_date,language,production_country,production_company
257,Exclusive background standardization,33144785.25,69020161.11,2002-12-28,lzh,Central African Republic,Fernandez-Fisher
258,Compatible human-resource adapter,22708296.73,499914604.23,1994-04-04,ia,Marshall Islands,Bond-Glover
259,Diverse bottom-line architecture,97848716.81,911378445.12,2000-12-11,az,Syrian Arab Republic,"Hicks, Arias and Castillo"
260,Total attitude-oriented definition,7194110.33,338883875.81,2003-08-13,si,Saint Helena,Sutton PLC
261,Cross-platform mobile capacity,97204901.73,50183986.18,2006-07-05,pa,Anguilla,Mills-Macias
262,Open-architected intermediate open system,28491856.25,240124718.39,2002-11-05,sc,Svalbard & Jan Mayen Islands,Ramirez-Carter
263,Focused leadingedge data-warehouse,50797359.95,464278308.7,2015-12-22,pl,Grenada,Warren and Sons
264,Face-to-face attitude-oriented conglomeration,88853454.18,126577530.59,2016-08-02,lb,Samoa,Thomas Inc
265,Re-contextualized global emulation,64398640.46,992228598.33,2007-11-13,da,Cambodia,"Burton, Marshall and Cortez"
266,Reactive modular neural-net,17170790.42,906924911.81,2013-02-03,yo,Nicaragua,Conrad and Sons
267,Polarized scalable standardization,56788603.59,2575987.33,2013-05-21,ta,Sao Tome and Principe,Hernandez PLC
268,Distributed regional adapter,69192478.04,126926113.47,2020-09-27,ug,Ireland,Newman LLC
269,Optional next generation array,91237620.93,223195058.79,2005-10-20,lg,Saint Vincent and the Grenadines,Horn-Villarreal
270,Open-architected actuating Local Area Network,95221313.17,98167544.18,2019-12-22,nso,Nauru,Lopez Ltd
271,Implemented full-range groupware,76135583.4,522153228.3,1999-11-27,hu,Netherlands,Gross and Sons
272,Configurable next generation circuit,97721759.96,345131833.72,2016-03-13,yue,Paraguay,"York, Buck and Henry"
273,Distributed 24/7 concept,90988396.59,439855151.17,2013-10-24,ro,Jersey,"Powell, Campbell and Garcia"
274,Focused value-added implementation,33676051.14,79007777.76,2014-04-15,ff,Eritrea,"Reed, King and Baldwin"
275,Fully-configurable well-modulated function,83522850.89,618636571.03,1998-05-24,tt,Kiribati,"Wilson, Hall and Sanchez"
276,Business-focused cohesive Local Area Network,95637266.06,765949923.93,1996-03-31,li,Nigeria,Sparks and Sons
277,Automated didactic focus group,64713212.8,865355252.59,2009-05-20,hsb,Brunei Darussalam,Thompson-Lee
278,User-friendly system-worthy analyzer,2817155.01,508391403.44,2000-10-09,te,Algeria,Williams LLC
279,Integrated incremental approach,2551548.91,658764661.72,2018-07-16,gv,Togo,Anderson LLC
280,Optional radical pricing structure,41479713.25,815802108.35,2002-11-15,mi,China,Cole Group
281,Configurable clear-thinking time-frame,85402603.62,24200491.72,1997-12-29,ce,Djibouti,Watson Group
282,Fundamental zero administration hub,90900544.0,870351999.19,2012-09-12,quz,Slovenia,Gay Inc
283,User-friendly interactive definition,5051120.71,56589592.29,1999-05-31,sw,Estonia,"Moreno, Trujillo and Jones"
284,Operative scalable matrices,15548246.03,726651281.49,1997-12-16,ak,Aruba,Armstrong and Sons
285,Object-based multi-state access,94271204.7,444306194.0,2016-12-03,pa,El Salvador,Sexton-Smith
286,Down-sized analyzing customer loyalty,98390639.41,262842689.61,2013-04-02,el,Philippines,Pitts-Lawson
287,Down-sized composite definition,79780047.64,473702622.63,2007-08-08,mk,Romania,Adams LLC
288,Function-based analyzing matrix,99315855.95,598893837.42,2019-07-22,sid,American Samoa,"White, Goodwin and Fuentes"
289,Multi-tiered global toolset,67228718.94,908925602.09,2004-02-04,nb,Saint Helena,Kelley-Copeland
290,Future-proofed radical customer loyalty,78940649.52,894963525.37,2000-06-30,szl,Grenada,West Inc
291,Organic bi-directional firmware,97524215.85,991424057.78,2005-04-13,mai,Algeria,"Simpson, King and Rodriguez"
292,Extended heuristic conglomeration,64851827.87,840645858.75,2009-09-08,ff,Reunion,Irwin PLC
293,Self-enabling systematic concept,35039985.96,491820298.91,2017-09-21,fi,Tuvalu,"Levy, Valdez and Hall"
294,Re-contextualized real-time instruction set,83081212.57,545137233.45,1994-01-21,byn,Svalbard & Jan Mayen Islands,Romero LLC
295,Progressive multi-state groupware,42940959.76,630132293.15,2010-11-21,tg,Pitcairn Islands,Freeman-Bell
296,Phased uniform array,61589542.94,657164689.68,2008-05-09,nds,Tunisia,Harrington-Freeman
297,Devolved background hub,7679522.07,849681785.93,2017-02-19,bn,Kuwait,Stephens LLC
298,Seamless hybrid hardware,37084785.34,460069644.77,2010-06-09,ps,Panama,Rios-Reed
299,Triple-buffered background software,75853105.47,993026121.51,2020-11-27,zu,Sweden,"Velez, Jones and Hardin"
300,Synergized transitional protocol,70290674.88,237331409.79,2014-06-29,cs,Czech Republic,Stout Inc
301,Stand-alone holistic approach,77302955.91,164751205.65,1997-11-16,sk,Saint Helena,"Macias, Wilson and Watkins"
302,Virtual static core,47876455.08,783650969.65,2000-11-20,yo,Czech Republic,"Cannon, Walker and Long"
303,Face-to-face regional service-desk,12552626.65,665656747.06,2001-08-11,gd,Senegal,Hamilton Ltd
304,Cloned full-range instruction set,27071848.32,451859314.96,1999-04-10,mk,Cayman Islands,Roberts-Huang
305,Business-focused client-driven Internet solution,51753389.65,421308693.37,2023-09-03,ht,Greece,Scott Group
306,Diverse static function,31237683.99,449225374.29,2015-10-26,ig,Mozambique,Bush and Sons
307,Focused object-oriented attitude,56806031.82,837120931.79,2019-08-09,bo,Tuvalu,Jimenez-Flores
308,Synergized encompassing solution,71911063.56,901282060.53,1997-01-06,es,Mongolia,Sweeney-Collins
309,Customer-focused radical open system,87943516.89,928173110.82,2002-09-10,yue,Libyan Arab Jamahiriya,Watts-Acosta
310,Balanced multi-tasking ability,70074068.44,262897921.98,2002-11-13,fi,Mexico,Clay-Keller
311,Polarized scalable approach,23134136.61,707857788.84,2017-09-26,ms,Papua New Guinea,"Turner, Norman and Sosa"
312,Phased eco-centric concept,1942735.07,577660027.45,2013-11-19,mr,Iran,Williams PLC
313,Grass-roots discrete help-desk,33927497.47,533099107.03,1994-02-09,ta,Guernsey,Rodgers and Sons
314,Monitored reciprocal circuit,92655480.23,174257144.04,1994-08-31,th,Tajikistan,Olsen-Montoya
315,Configurable human-resource software,6090521.28,350952665.65,1995-04-18,hi,Palau,Cunningham LLC
316,Multi-layered bandwidth-monitored artificial intelligence,49164568.5,100314070.13,2003-08-03,as,Ireland,Johnson-Herrera
317,Ameliorated asynchronous toolset,71240962.19,231254874.89,2023-03-31,wo,Nigeria,Scott-Mendez
318,Object-based zero administration projection,83658544.53,477104816.04,2005-01-08,fo,French Guiana,Whitehead and Sons
319,Implemented client-server parallelism,43623922.62,311058986.18,2008-10-12,shs,Yemen,Holt-Salinas
320,Cross-group directional projection,53031754.86,190192335.38,2014-07-20,ks,Colombia,Franco-Phillips
321,Future-proofed systemic middleware,97958915.38,338933429.6,1995-10-11,fil,Canada,Gomez LLC
322,Extended asynchronous moratorium,72233641.42,264306199.32,2012-10-26,os,Nigeria,Campbell and Sons
323,Monitored maximized complexity,22521284.27,988075419.91,2014-01-17,gez,British Indian Ocean Territory (Chagos Archipelago),Fowler-Payne
324,Stand-alone mission-critical synergy,50051053.07,228247706.36,2008-07-23,tn,United Arab Emirates,Graham-Jackson
325,Business-focused zero tolerance approach,46658587.77,418198438.37,2015-04-10,bem,Yemen,Patrick Inc
326,Proactive attitude-oriented Graphical User Interface,94470916.64,372304023.13,2023-08-10,fur,Colombia,Rojas-Brown
327,Robust optimizing Graphical User Interface,77831235.4,129932252.92,1996-10-04,hsb,Oman,Arnold Inc
328,Customer-focused interactive flexibility,20641364.3,781076817.09,2001-02-02,dz,Ukraine,Guzman PLC
329,Intuitive radical collaboration,72270090.55,877519319.05,2005-11-19,km,Belize,"Sellers, Mullins and Neal"
330,Expanded multimedia service-desk,79113862.46,249143086.05,2022-03-25,kl,Mexico,"Deleon, Miller and Robertson"
331,Customizable 24hour initiative,65117555.19,484565035.95,2007-07-02,gd,Estonia,Schroeder-Marshall
332,Re-engineered non-volatile Internet solution,20908421.77,764054853.3,2020-07-03,kn,Saudi Arabia,"Patrick, Ward and Gilmore"
333,User-centric systematic complexity,30023145.01,641696432.4,2009-01-15,lij,Burkina Faso,Estrada PLC
334,Reactive scalable project,32271281.82,189857681.47,2003-01-19,br,Gambia,Davis-Chapman
335,Multi-channeled explicit time-frame,39534315.76,730054647.32,2021-12-03,bo,Spain,"Church, Baird and Cox"
336,Mandatory intangible infrastructure,42990335.33,571352530.06,2003-11-02,it,Zimbabwe,Sanchez PLC
337,Extended zero-defect encoding,52022332.53,70003059.55,2007-01-25,tn,Morocco,Rodriguez Ltd
338,Quality-focused radical encoding,7598176.07,810951515.23,2001-08-18,is,Egypt,Ross-Collins
339,Versatile national encryption,65099667.84,734222361.31,2003-03-24,tg,Togo,"Mclaughlin, Robertson and Landry"
340,Automated heuristic portal,71764637.87,848483036.14,1994-10-03,yo,Moldova,Parker PLC
341,Monitored systematic success,83428649.7,475438199.71,2011-12-21,szl,Norfolk Island,"Jennings, Gonzales and Murphy"
342,Enterprise-wide coherent website,29052997.55,947580050.9,1997-12-19,doi,Slovakia (Slovak Republic),"Cook, Fleming and Huang"
343,Reverse-engineered cohesive instruction set,32244279.5,180415672.74,2011-09-08,eu,Honduras,Underwood Group
344,Implemented mobile standardization,98348351.4,305342193.64,1999-08-08,mr,Bosnia and Herzegovina,"Harris, Clark and Walker"
345,Visionary responsive benchmark,50893320.0,170967793.81,1999-04-12,shs,India,Pitts-Bennett
346,Stand-alone asynchronous solution,40840693.33,345192997.58,2017-02-06,ca,Singapore,Blake LLC
347,Organic contextually-based migration,58694535.79,467087623.88,2021-08-18,sl,Ukraine,Mcmillan LLC
348,User-friendly stable workforce,75703669.67,256409319.27,2013-11-18,unm,Dominican Republic,Pratt Inc
349,Upgradable empowering project,26797481.09,432644554.69,2009-06-30,tg,Anguilla,Lopez-Hoffman
350,Ameliorated didactic projection,44341102.03,684236236.84,2009-06-17,ga,Gibraltar,Choi-Johnson
351,Realigned 24/7 service-desk,41099725.01,364621854.98,2000-12-06,el,Australia,"Rodriguez, Owens and Velasquez"
352,Synergistic tangible challenge,28010612.43,943686262.38,2019-08-22,mi,Saint Barthelemy,Andrews-Lutz
353,Cross-group modular strategy,27501531.22,987230828.04,2011-12-13,tig,Poland,Carter-Merritt
354,Synergistic demand-driven software,33722848.37,197248318.95,2002-10-01,wal,Armenia,"Morgan, Warren and Phillips"
355,Streamlined web-enabled firmware,32429126.1,199559605.96,2008-05-26,rw,Slovakia (Slovak Republic),"Alexander, Casey and Jackson"
356,Inverse motivating contingency,69408960.92,886958473.46,2000-09-22,xh,Sao Tome and Principe,Johnson and Sons
357,Assimilated responsive data-warehouse,28394981.8,458669103.94,2015-11-27,ne,Ukraine,Chapman Ltd
358,Customer-focused actuating complexity,10561492.34,646417826.87,2002-06-16,sq,Micronesia,Johns PLC
359,Fundamental web-enabled hierarchy,25854126.4,763154498.65,2007-05-16,ln,Solomon Islands,Wallace-Lindsey
360,Persevering methodical projection,2828078.93,207153325.63,2013-11-09,rw,New Caledonia,"Ward, Murphy and Wells"
361,Automated encompassing leverage,96124828.85,793535167.44,2020-05-30,bg,New Caledonia,"Velasquez, Blair and Dixon"
362,Team-oriented background extranet,21472361.39,105911778.7,1996-10-01,ku,Kyrgyz Republic,"Mcclain, Stokes and Hooper"
363,Balanced mobile product,3605821.87,929378459.24,1995-06-30,az,Guyana,Martin Ltd
364,Team-oriented maximized superstructure,98433331.41,698465667.23,1996-03-04,oc,Lithuania,Lopez-Torres
365,Polarized value-added contingency,93890523.13,507402539.8,2017-07-20,br,Angola,"Kirk, Byrd and Parrish"
366,Integrated tertiary access,23827996.93,754147090.4,2007-06-18,lg,Algeria,Petersen-Ramos
367,Enterprise-wide encompassing portal,9230568.55,855719399.08,2010-06-25,mt,Central African Republic,Fitzgerald and Sons
368,Mandatory next generation Graphic Interface,58670656.09,60250906.57,2015-01-30,mn,Vanuatu,Fuentes and Sons
369,Persistent high-level process improvement,99871036.54,106799918.29,2001-05-26,lg,Botswana,Rodriguez-Clark
370,Managed tangible methodology,62258225.01,306239659.29,2022-04-18,yo,Senegal,Turner-Schultz
371,Multi-layered intermediate synergy,24877837.96,744307543.48,2015-12-11,tcy,Albania,"Kennedy, King and Bailey"
372,Up-sized well-modulated product,78915301.59,950802982.24,2016-12-20,tcy,Sudan,"Allen, Goodman and Cole"
373,Profound 4thgeneration matrices,80700891.54,171901602.02,1996-02-19,af,Maldives,"Murphy, Higgins and Jimenez"
374,Switchable real-time function,90753774.34,908195160.97,2019-09-21,gd,Mexico,Mccoy-Smith
375,Ameliorated intermediate middleware,8678122.31,806833772.13,2010-03-27,mn,Ghana,"Chen, Lambert and Hoffman"
376,Vision-oriented discrete methodology,8211065.75,774389772.35,2018-11-02,hi,Philippines,Mullins-Thomas
377,Public-key real-time benchmark,5289276.16,349938506.22,2009-08-02,am,Guyana,Perkins-Velasquez
378,Realigned radical service-desk,70387140.81,481962999.22,2001-04-18,sc,Congo,Taylor PLC
379,Object-based tertiary capability,73415227.29,627997103.05,2001-06-07,lt,Saint Kitts and Nevis,Hill-Sanchez
380,Persistent motivating superstructure,74274595.66,290484602.1,1994-01-01,nr,Qatar,Mcintosh-Macdonald
381,Multi-lateral logistical time-frame,1533655.2,961076181.58,1998-05-24,ber,Mozambique,Blake and Sons
382,Organized intermediate parallelism,31155903.43,928178961.03,2021-11-15,ku,Belize,Mcintyre Group
383,Front-line next generation array,75839207.03,987474116.59,2013-03-11,mk,Germany,"Ward, Sanders and Perry"
384,Re-contextualized static Graphical User Interface,40838892.21,944563156.81,2023-08-22,et,Costa Rica,Hernandez PLC
385,Polarized global access,11611752.12,655564554.9,2022-07-17,as,Cape Verde,Villanueva and Sons
386,Profit-focused content-based secured line,30894960.87,506537301.58,2000-08-12,apn,Monaco,"Boyd, Macdonald and Dunn"
387,Object-based incremental orchestration,19722544.09,407846008.27,2014-07-22,id,Belarus,Bryant-Ramirez
388,Upgradable static frame,27131010.29,986722925.01,2006-07-28,ayc,French Polynesia,"White, Brown and Williams"
389,Enterprise-wide incremental framework,99217623.6,881727358.59,2020-12-07,iw,Seychelles,Miranda PLC
390,Extended contextually-based circuit,21146360.76,107432467.19,2000-05-17,de,Kuwait,Banks-Yates
391,Self-enabling clear-thinking database,37711878.73,259827669.24,1993-11-12,os,Mexico,Edwards PLC
392,Implemented 6thgeneration forecast,71363977.81,411131901.24,2013-09-17,ti,Grenada,Chang and Sons
393,Open-source value-added hierarchy,84088861.4,673899251.16,2021-08-15,ia,Tonga,Petersen-Moore
394,De-engineered local array,45548836.86,386524940.41,1994-03-12,nl,Poland,Padilla and Sons
395,Implemented zero administration support,8927433.35,446891303.57,2022-09-12,as,Puerto Rico,Johnson-Smith
396,Triple-buffered multi-state function,15003386.66,886502157.55,2013-12-28,my,United States Minor Outlying Islands,Cox PLC
397,Customer-focused disintermediate contingency,95339291.94,546811533.31,2008-02-28,nb,Ireland,Griffin Group
398,Ameliorated 6thgeneration service-desk,75129469.41,257594224.57,2009-05-03,hy,Latvia,Grimes-Turner
399,Open-source heuristic architecture,2114073.32,290766094.11,2020-07-29,he,Tonga,Jones-Mcclure
400,Front-line object-oriented policy,83177643.87,135407219.96,2017-07-09,fil,Uzbekistan,Martinez LLC
401,Ergonomic mobile conglomeration,81121621.53,93905319.83,1998-09-17,unm,Pakistan,"Rodgers, Howard and Henderson"
402,Organic user-facing functionalities,63637915.87,592022035.5,2018-11-07,bem,Albania,Bennett-Blanchard
403,Digitized attitude-oriented Internet solution,34182695.26,470337085.86,1998-02-01,sq,Kuwait,"Young, Nelson and Hamilton"
404,Robust 5thgeneration circuit,43508200.72,89327696.84,2004-08-13,el,Sierra Leone,Reed-Hill
405,Grass-roots local project,56847964.2,366700525.56,2009-10-12,unm,French Southern Territories,"Watson, Smith and Wallace"
406,Self-enabling asynchronous capacity,62894462.1,692455791.33,1995-04-19,he,North Macedonia,Watson LLC
407,Secured static collaboration,63576944.19,656693845.73,2019-02-04,bho,Burkina Faso,"Sweeney, Rivera and Parker"
408,Multi-lateral 24/7 service-desk,34508757.86,952645408.36,2004-10-15,ja,Chad,"Alexander, Sanders and Bennett"
409,Monitored heuristic archive,60877428.27,356039082.1,2005-12-27,mr,Morocco,Shepard and Sons
410,Switchable client-driven superstructure,11973218.76,15577747.46,1996-03-10,hy,Nicaragua,"Bates, Copeland and Alvarado"
411,Reduced 24hour product,6103463.26,51050451.31,2002-08-03,ks,Haiti,Moreno Ltd
412,Stand-alone hybrid matrix,50158490.24,111218750.0,2018-03-21,id,Monaco,Hernandez-Brown
413,Grass-roots bandwidth-monitored Internet solution,76219549.69,494379856.72,2020-11-10,bhb,Guinea-Bissau,Ramos-Hill
414,Inverse systematic database,95945594.25,663076643.04,2023-01-21,gu,Nepal,Diaz LLC
415,Focused static concept,80997757.22,426202950.33,2008-09-14,yi,Rwanda,"Holloway, Weiss and Jones"
416,Function-based 24/7 hierarchy,11225272.17,973149992.16,2007-08-17,lij,Bermuda,Roberts-Jackson
417,Re-engineered global standardization,62314264.25,869747730.39,2013-02-14,be,Belize,Jackson-Stokes
418,Proactive web-enabled approach,73361204.54,151200233.75,2000-03-08,doi,Angola,Jackson-Sanchez
419,Multi-layered human-resource utilization,80415120.67,273690006.43,2000-05-06,ha,British Virgin Islands,Jacobs-White
420,Adaptive client-server Internet solution,95645689.65,326330002.17,2007-07-17,kl,India,Thomas LLC
421,Advanced coherent application,17466228.32,148079889.51,2002-10-20,yue,Guernsey,Lee-Johnson
422,Reactive needs-based toolset,99767124.19,653724918.21,2019-06-22,as,Trinidad and Tobago,"Richmond, Brown and Pearson"
423,Team-oriented impactful workforce,69647409.96,168828869.47,2008-07-21,mag,Palau,Taylor-Byrd
424,Optimized client-server hardware,96018854.33,992673166.87,2004-10-17,bg,Turkmenistan,Taylor Inc
425,Centralized national benchmark,74261912.52,258404592.64,2011-10-11,ti,Ghana,Davies Inc
426,Profound context-sensitive archive,80583788.14,48101770.81,2021-05-16,mni,Jersey,Long and Sons
427,Total heuristic benchmark,63546334.82,51744030.41,2000-12-25,tk,Mongolia,"Gonzalez, Carney and Stevenson"
428,Ameliorated client-server moderator,6427227.87,852795545.18,2014-06-13,sk,Gibraltar,Singh Group
429,Streamlined eco-centric groupware,30278893.58,204618647.65,2005-07-09,ckb,Philippines,Mason-Combs
430,De-engineered methodical Graphical User Interface,83502947.08,126313362.66,2011-02-24,an,Lebanon,Jones Inc
431,Profit-focused foreground infrastructure,83226385.82,97706590.07,1997-03-28,it,Solomon Islands,Hartman Inc
432,Stand-alone well-modulated help-desk,80206668.02,809996558.5,2015-05-31,ur,Barbados,Love-Phillips
433,Distributed directional ability,91161169.93,33572453.46,2013-06-02,pa,Grenada,"Williams, Fields and Hill"
434,Exclusive hybrid support,14689036.83,334968839.85,2000-03-27,ts,Cyprus,Harris-Zuniga
435,Expanded eco-centric productivity,31458034.88,924928249.87,2018-09-02,fa,Croatia,Weiss-Rodriguez
436,Horizontal analyzing infrastructure,92960729.42,279686851.84,1996-07-12,yi,Russian Federation,"Smith, Valdez and Hall"
437,Ergonomic scalable Graphical User Interface,18629169.84,888780436.03,2000-08-19,gl,Bolivia,Johnson-Williams
438,Optional multi-state circuit,17048428.1,137597457.57,2018-05-19,mk,Central African Republic,Rodriguez LLC
439,Face-to-face bandwidth-monitored migration,95340454.47,921053919.8,2010-07-25,nhn,Cote d'Ivoire,Rocha Ltd
440,User-centric next generation core,72531458.54,944365271.83,2004-09-16,en,Saint Barthelemy,English Group
441,Visionary zero tolerance model,38041931.25,806276326.15,2013-06-07,kk,Azerbaijan,Johnson-Graham
442,Managed impactful capacity,21088714.49,631721247.48,2020-09-20,dv,Lithuania,Walker-Walker
443,Pre-emptive homogeneous forecast,74991289.43,964899447.6,2001-02-21,hr,Indonesia,Glover Ltd
444,Versatile reciprocal process improvement,30774823.77,701537885.11,2022-05-20,lb,Timor-Leste,Wall-Farmer
445,Open-source optimizing matrix,43521842.42,260600035.49,1994-01-07,ka,Oman,"Kelley, Cain and Gonzalez"
446,Switchable leadingedge parallelism,65397487.83,507711850.56,2021-08-19,lb,United Arab Emirates,Beard Inc
447,Mandatory asymmetric strategy,48358794.46,505884722.92,1994-10-14,ms,Falkland Islands (Malvinas),Jones-Henson
448,Secured content-based hub,83307192.77,863204687.67,2017-01-19,ce,Albania,"Mccormick, Williams and Rose"
449,Proactive client-driven software,92299114.57,942011207.85,1997-09-12,lo,French Guiana,Cook and Sons
